EmployeeNumber,Age,Gender,BusinessTravel,DistanceFromHome,Education,EducationField,MaritalStatus,Department,JobRole,Attrition
1,41,Female,Travel_Rarely,1,2,Life Sciences,Single,Sales,Sales Executive,Yes
2,49,Male,Travel_Frequently,8,1,Life Sciences,Married,Research & Development,Research Scientist,No
4,37,Male,Travel_Rarely,2,2,Other,Single,Research & Development,Laboratory Technician,Yes
5,33,Female,Travel_Frequently,3,4,Life Sciences,Married,Research & Development,Research Scientist,No
7,27,Male,Travel_Rarely,2,1,Medical,Married,Research & Development,Laboratory Technician,No
8,32,Male,Travel_Frequently,2,2,Life Sciences,Single,Research & Development,Laboratory Technician,No
10,59,Female,Travel_Rarely,3,3,Medical,Married,Research & Development,Laboratory Technician,No
11,30,Male,Travel_Rarely,24,1,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
12,38,Male,Travel_Frequently,23,3,Life Sciences,Single,Research & Development,Manufacturing Director,No
13,36,Male,Travel_Rarely,27,3,Medical,Married,Research & Development,Healthcare Representative,No
14,35,Male,Travel_Rarely,16,3,Medical,Married,Research & Development,Laboratory Technician,No
15,29,Female,Travel_Rarely,15,2,Life Sciences,Single,Research & Development,Laboratory Technician,No
16,31,Male,Travel_Rarely,26,1,Life Sciences,Divorced,Research & Development,Research Scientist,No
18,34,Male,Travel_Rarely,19,2,Medical,Divorced,Research & Development,Laboratory Technician,No
19,28,Male,Travel_Rarely,24,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
20,29,Female,Travel_Rarely,21,4,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
21,32,Male,Travel_Rarely,5,2,Life Sciences,Divorced,Research & Development,Research Scientist,No
22,22,Male,Non-Travel,16,2,Medical,Divorced,Research & Development,Laboratory Technician,No
23,53,Female,Travel_Rarely,2,4,Life Sciences,Married,Sales,Manager,No
24,38,Male,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Research Scientist,No
26,24,Female,Non-Travel,11,2,Other,Divorced,Research & Development,Manufacturing Director,No
27,36,Male,Travel_Rarely,9,4,Life Sciences,Single,Sales,Sales Representative,Yes
28,34,Female,Travel_Rarely,7,4,Life Sciences,Single,Research & Development,Research Director,No
30,21,Male,Travel_Rarely,15,2,Life Sciences,Single,Research & Development,Research Scientist,No
31,34,Male,Travel_Rarely,6,1,Medical,Single,Research & Development,Research Scientist,Yes
32,53,Female,Travel_Rarely,5,3,Other,Divorced,Research & Development,Manager,No
33,32,Female,Travel_Frequently,16,1,Life Sciences,Single,Research & Development,Research Scientist,Yes
35,42,Male,Travel_Rarely,8,4,Marketing,Married,Sales,Sales Executive,No
36,44,Female,Travel_Rarely,7,4,Medical,Married,Research & Development,Healthcare Representative,No
38,46,Female,Travel_Rarely,2,4,Marketing,Single,Sales,Manager,No
39,33,Male,Travel_Rarely,2,3,Medical,Single,Research & Development,Laboratory Technician,No
40,44,Male,Travel_Rarely,10,4,Other,Married,Research & Development,Healthcare Representative,No
41,30,Male,Travel_Rarely,9,2,Medical,Single,Research & Development,Laboratory Technician,No
42,39,Male,Travel_Rarely,5,3,Technical Degree,Married,Sales,Sales Representative,Yes
45,24,Male,Travel_Rarely,1,3,Medical,Married,Research & Development,Research Scientist,Yes
46,43,Female,Travel_Rarely,2,2,Medical,Divorced,Research & Development,Research Scientist,No
47,50,Male,Travel_Rarely,3,2,Marketing,Married,Sales,Sales Representative,Yes
49,35,Female,Travel_Rarely,2,3,Marketing,Married,Sales,Sales Representative,No
51,36,Female,Travel_Rarely,5,4,Life Sciences,Married,Research & Development,Research Scientist,No
52,33,Female,Travel_Frequently,1,3,Life Sciences,Married,Sales,Sales Executive,No
53,35,Male,Travel_Rarely,4,2,Other,Divorced,Research & Development,Laboratory Technician,No
54,27,Female,Travel_Rarely,2,4,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
55,26,Male,Travel_Rarely,25,3,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
56,27,Male,Travel_Frequently,8,3,Life Sciences,Single,Sales,Sales Executive,No
57,30,Female,Travel_Frequently,1,2,Medical,Single,Research & Development,Laboratory Technician,No
58,41,Female,Travel_Rarely,12,3,Technical Degree,Married,Research & Development,Research Director,Yes
60,34,Male,Non-Travel,23,4,Marketing,Single,Sales,Sales Executive,No
61,37,Male,Travel_Rarely,19,2,Life Sciences,Married,Research & Development,Research Scientist,No
62,46,Male,Travel_Frequently,5,4,Marketing,Single,Sales,Sales Executive,No
63,35,Male,Travel_Rarely,8,1,Life Sciences,Married,Research & Development,Laboratory Technician,No
64,48,Male,Travel_Rarely,1,2,Life Sciences,Single,Research & Development,Laboratory Technician,Yes
65,28,Male,Travel_Rarely,5,4,Technical Degree,Single,Research & Development,Laboratory Technician,Yes
68,44,Female,Travel_Rarely,1,5,Marketing,Divorced,Sales,Sales Executive,No
70,35,Male,Non-Travel,11,2,Medical,Married,Research & Development,Healthcare Representative,No
72,26,Female,Travel_Rarely,23,3,Marketing,Married,Sales,Sales Executive,No
73,33,Female,Travel_Frequently,1,2,Life Sciences,Single,Research & Development,Research Director,No
74,35,Male,Travel_Frequently,18,5,Life Sciences,Married,Sales,Sales Executive,No
75,35,Female,Travel_Rarely,23,4,Medical,Married,Research & Development,Laboratory Technician,No
76,31,Male,Travel_Rarely,7,4,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
77,37,Male,Travel_Rarely,1,4,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
78,32,Male,Travel_Rarely,1,3,Medical,Married,Research & Development,Manufacturing Director,No
79,38,Female,Travel_Frequently,29,5,Life Sciences,Single,Research & Development,Laboratory Technician,No
80,50,Female,Travel_Rarely,7,2,Medical,Divorced,Research & Development,Research Director,No
81,59,Female,Travel_Rarely,25,3,Life Sciences,Single,Sales,Sales Executive,No
83,36,Female,Travel_Rarely,8,3,Technical Degree,Divorced,Research & Development,Healthcare Representative,No
84,55,Female,Travel_Rarely,8,3,Medical,Divorced,Research & Development,Manager,No
85,36,Male,Travel_Frequently,11,3,Life Sciences,Single,Research & Development,Manufacturing Director,No
86,45,Male,Travel_Rarely,7,3,Life Sciences,Divorced,Research & Development,Research Scientist,No
88,35,Male,Travel_Frequently,1,3,Medical,Married,Research & Development,Research Scientist,No
90,36,Male,Travel_Rarely,9,3,Medical,Married,Research & Development,Research Scientist,Yes
91,59,Female,Travel_Frequently,1,1,Life Sciences,Single,Sales,Sales Executive,No
94,29,Male,Travel_Rarely,2,3,Life Sciences,Married,Research & Development,Research Scientist,No
95,31,Male,Travel_Rarely,1,4,Medical,Single,Research & Development,Research Scientist,No
96,32,Male,Travel_Rarely,1,3,Life Sciences,Married,Research & Development,Research Scientist,No
97,36,Female,Travel_Rarely,6,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
98,31,Female,Travel_Rarely,8,4,Life Sciences,Single,Research & Development,Manufacturing Director,No
100,35,Male,Travel_Rarely,1,4,Marketing,Single,Sales,Sales Executive,No
101,45,Male,Travel_Rarely,6,4,Other,Married,Research & Development,Research Director,No
102,37,Male,Travel_Rarely,7,4,Medical,Single,Research & Development,Research Director,No
103,46,Male,Travel_Rarely,5,2,Medical,Divorced,Human Resources,Human Resources,No
104,30,Male,Travel_Rarely,1,1,Life Sciences,Married,Research & Development,Laboratory Technician,No
105,35,Male,Travel_Rarely,1,3,Medical,Single,Research & Development,Research Scientist,No
106,55,Male,Travel_Rarely,1,2,Life Sciences,Married,Sales,Sales Executive,No
107,38,Female,Non-Travel,6,3,Medical,Divorced,Research & Development,Research Scientist,No
110,34,Male,Travel_Rarely,1,2,Medical,Married,Research & Development,Manufacturing Director,No
112,56,Male,Travel_Rarely,7,3,Life Sciences,Single,Research & Development,Manufacturing Director,No
113,23,Male,Travel_Rarely,2,1,Technical Degree,Divorced,Sales,Sales Representative,No
116,51,Male,Travel_Rarely,9,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
117,30,Male,Travel_Rarely,2,3,Life Sciences,Married,Research & Development,Healthcare Representative,No
118,46,Male,Travel_Rarely,9,2,Medical,Single,Sales,Sales Executive,Yes
119,40,Male,Travel_Frequently,1,4,Life Sciences,Married,Research & Development,Healthcare Representative,No
120,51,Male,Travel_Rarely,21,4,Marketing,Single,Sales,Sales Executive,No
121,30,Female,Travel_Rarely,4,2,Medical,Divorced,Sales,Sales Executive,No
124,46,Male,Travel_Frequently,1,3,Medical,Married,Research & Development,Healthcare Representative,No
125,32,Male,Travel_Rarely,6,4,Medical,Single,Sales,Sales Executive,No
126,54,Female,Travel_Rarely,2,4,Technical Degree,Married,Research & Development,Research Director,No
